Mapped Object,MMU Mapped Address (hex),,,
,EE,IOP,VU0,VU1
,,,,
EE->VPU->VU->VU0->MEMORY_Mem,0x11004000,,0x00003000,
EE->VPU->VU->VU1->VF[i],,,0x00004000,
EE->VPU->VU->VU1->VI[i],,,0x00004200,
EE->VPU->VU->VU1->Status,,,0x00004300,
EE->VPU->VU->VU1->MAC,,,0x00004310,
EE->VPU->VU->VU1->Clipping,,,0x00004320,
EE->VPU->VU->VU1->R,,,0x00004340,
EE->VPU->VU->VU1->I,,,0x00004350,
EE->VPU->VU->VU1->Q,,,0x00004360,
EE->VPU->VU->VU1->P,,,0x00004370,
EE->VPU->VU->VU1->PC,,,0x000043A0,
EE->VPU->VU->VU1->MEMORY_Mem,0x1100C000,,,0x00000000
EE->MainMemory,0x00000000,,,
EE->EECore->ScratchpadMemory,0x70000000,,,
EE->BootROM,0x1FC00000,0xFFC00000,,
EE->ROM1,0x1E000000,0x1E000000,,
EE->EROM,0x1E040000,,,
EE->ROM2,0x1E400000,,,
EE->UNKNOWN_1A000000,0x1A000000,,,
EE->MEMORY_SIO,0x1000F100,,,
EE->REGISTER_F400,0x1000F400,,,
EE->MEMORY_F410,0x1000F410,,,
EE->REGISTER_F420,0x1000F420,,,
EE->MEMORY_MCH,0x1000F430,,,
EE->MEMORY_F450,0x1000F450,,,
EE->Timers->TIMER_0->COUNT,0x10000000,,,
EE->Timers->TIMER_0->MODE,0x10000010,,,
EE->Timers->TIMER_0->COMP,0x10000020,,,
EE->Timers->TIMER_0->HOLD,0x10000030,,,
EE->Timers->TIMER_1->COUNT,0x10000800,,,
EE->Timers->TIMER_1->MODE,0x10000810,,,
EE->Timers->TIMER_1->COMP,0x10000820,,,
EE->Timers->TIMER_1->HOLD,0x10000830,,,
EE->Timers->TIMER_2->COUNT,0x10001000,,,
EE->Timers->TIMER_2->MODE,0x10001010,,,
EE->Timers->TIMER_2->COMP,0x10001020,,,
EE->Timers->TIMER_3->COUNT,0x10001800,,,
EE->Timers->TIMER_3->MODE,0x10001810,,,
EE->Timers->TIMER_3->COMP,0x10001820,,,
EE->IPU->CMD,0x10002000,,,
